Genre,Publisher,Rank,Year,Global Sales,min(1),Name,North America Sales,% Europe,% Japan,% North America,% Other,Europe Sales,Japan Sales,Number of Video Games,Other Sales,Platform
Fighting,Nintendo,204,2014,5.02,1,"Super Smash Bros, for Wii U and 3DS",2.59,21%,16%,52%,11%,1.06,0.8,1,0.57,WiiU
Strategy,Eidos Interactive,205,1999,5.01,1,Warzone 2100,2.79,38%,0%,56%,7%,1.89,0,1,0.33,PS
Platform,Sony Computer Entertainment,206,1998,5,1,Spyro the Dragon,3.36,27%,1%,67%,4%,1.36,0.07,1,0.21,PS
Shooter,Nintendo,207,2007,5,1,Link's Crossbow Training,3.06,24%,6%,61%,9%,1.18,0.29,1,0.46,Wii
Misc,Activision,208,2007,4.98,1,Guitar Hero III: Legends of Rock,3.49,0%,0%,70%,30%,0.01,0.01,1,1.48,PS2
Role-Playing,Bethesda Softworks,209,2008,4.96,1,Fallout 3,3.39,21%,2%,68%,9%,1.03,0.09,1,0.44,X360
Role-Playing,Nintendo,210,2007,4.96,1,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.85,24%,31%,37%,7%,1.2,1.54,1,0.37,DS
Action,Sony Computer Entertainment,211,2007,4.94,1,Uncharted: Drake's Fortune,2.31,35%,2%,47%,16%,1.73,0.12,1,0.78,PS3
Sports,Electronic Arts,212,2005,4.91,1,Madden NFL 06,3.98,5%,0%,81%,13%,0.26,0.01,1,0.66,PS2
Action,LucasArts,213,2007,4.9,1,LEGO Star Wars: The Complete Saga,2.89,31%,0%,59%,9%,1.54,0,1,0.46,DS
Racing,Nintendo,214,1997,4.88,1,Diddy Kong Racing,2.91,20%,18%,60%,2%,0.99,0.89,1,0.1,N64
Role-Playing,Capcom,215,2010,4.87,1,Monster Hunter Freedom 3,0,0%,100%,0%,0%,0,4.87,1,0,PSP
Puzzle,Nintendo,216,1990,4.85,1,"Dr, Mario",2.62,12%,31%,54%,2%,0.6,1.52,1,0.1,NES
Action,Sony Computer Entertainment,217,2010,4.84,1,God of War III,2.74,28%,2%,57%,13%,1.36,0.12,1,0.63,PS3
Strategy,Activision,218,2010,4.83,1,StarCraft II: Wings of Liberty,2.56,35%,0%,53%,12%,1.68,0,1,0.59,PC
Adventure,Ubisoft,219,2007,4.83,1,Assassin's Creed,1.91,41%,2%,40%,17%,2,0.09,1,0.83,PS3
Sports,Electronic Arts,220,2014,4.82,1,FIFA 15,0.57,65%,1%,12%,22%,3.14,0.04,1,1.07,PS3
Racing,Sony Computer Entertainment,221,1999,4.79,1,Crash Team Racing,2.57,33%,9%,54%,4%,1.57,0.44,1,0.21,PS
Sports,Electronic Arts,222,2016,4.77,1,FIFA 17,0.28,79%,1%,6%,14%,3.75,0.06,1,0.69,PS4
Action,"Warner Bros, Interactive Entertainment",223,2011,4.76,1,Batman: Arkham City,2.99,28%,1%,63%,9%,1.31,0.04,1,0.41,X360
Action,Atari,224,2000,4.73,1,Driver 2,2.36,44%,0%,50%,5%,2.1,0.02,1,0.25,PS
Racing,Vivendi Games,225,2003,4.7,1,The Simpsons: Hit & Run,1.73,47%,0%,37%,17%,2.19,0,1,0.79,PS2
Sports,Activision,226,2000,4.68,1,Tony Hawk's Pro Skater 2,3.05,30%,0%,65%,4%,1.41,0.02,1,0.2,PS
Simulation,Nintendo,227,2008,4.68,1,Animal Crossing: City Folk,1.87,24%,28%,40%,8%,1.12,1.32,1,0.37,Wii
Action,Electronic Arts,228,2002,4.67,1,The Lord of the Rings: The Two Towers,1.94,42%,2%,42%,15%,1.95,0.08,1,0.7,PS2
Racing,Microsoft Game Studios,229,2011,4.64,1,Forza Motorsport 4,2.08,44%,1%,45%,10%,2.04,0.06,1,0.47,X360
Action,Eidos Interactive,230,1996,4.63,1,Tomb Raider,2.29,43%,3%,49%,5%,1.97,0.13,1,0.24,PS
Misc,Activision,231,2007,4.62,1,Guitar Hero III: Legends of Rock,3.06,24%,0%,66%,10%,1.12,0,1,0.44,Wii
Action,Nintendo,232,1991,4.61,1,The Legend of Zelda: A Link to the Past,2.42,20%,25%,52%,3%,0.91,1.15,1,0.13,SNES
Action,Nintendo,233,2002,4.6,1,The Legend of Zelda: The Wind Waker,2.6,22%,19%,57%,3%,0.99,0.89,1,0.13,GC
Sports,Sega,234,2009,4.58,1,Mario & Sonic at the Olympic Winter Games,1.89,43%,5%,41%,10%,1.99,0.22,1,0.48,Wii
Action,Nintendo,235,2013,4.58,1,Luigi's Mansion: Dark Moon,1.78,30%,24%,39%,7%,1.39,1.1,1,0.3,3DS
Shooter,Nintendo,236,2015,4.57,1,Splatoon,1.55,25%,32%,34%,9%,1.15,1.44,1,0.43,WiiU
Action,Sony Computer Entertainment,237,2014,4.55,1,The Last of Us,1.78,41%,2%,39%,18%,1.87,0.07,1,0.82,PS4
Misc,Activision,238,2007,4.53,1,Guitar Hero III: Legends of Rock,3.19,20%,0%,70%,9%,0.92,0.01,1,0.42,X360
Sports,Electronic Arts,239,2004,4.53,1,Madden NFL 2005,4.18,6%,0%,92%,2%,0.26,0.01,1,0.08,PS2
Platform,Activision,240,1981,4.5,1,Pitfall!,4.21,5%,0%,94%,1%,0.24,0,1,0.05,2600
Sports,Electronic Arts,241,2006,4.49,1,Madden NFL 07,3.63,5%,0%,81%,14%,0.24,0.01,1,0.61,PS2
Action,Activision,242,2002,4.48,1,Spider-Man: The Movie,2.71,34%,1%,60%,5%,1.51,0.03,1,0.23,PS2
Role-Playing,Enix Corporation,243,2000,4.47,1,Dragon Quest VII: Warriors of Eden,0.2,3%,92%,4%,0%,0.14,4.1,1,0.02,PS
Action,Sony Computer Entertainment,244,2015,4.47,1,Uncharted: The Nathan Drake Collection,1.96,38%,2%,44%,17%,1.69,0.08,1,0.74,PS4
Shooter,Activision,245,2014,4.45,1,Call of Duty: Advanced Warfare,1.54,44%,4%,35%,17%,1.94,0.19,1,0.77,PS3
Action,Sony Computer Entertainment,246,2005,4.45,1,God of War,2.71,29%,0%,61%,10%,1.29,0.02,1,0.43,PS2
Misc,Nintendo,247,2012,4.44,1,Nintendo Land,2.55,25%,10%,57%,7%,1.11,0.46,1,0.33,WiiU
Misc,Ubisoft,248,2010,4.42,1,Michael Jackson: The Experience,2.67,31%,0%,60%,9%,1.35,0.01,1,0.39,Wii
Sports,Activision,249,2001,4.41,1,Tony Hawk's Pro Skater 3,2.66,29%,0%,60%,10%,1.29,0.01,1,0.46,PS2
Sports,Konami Digital Entertainment,250,2006,4.39,1,Winning Eleven: Pro Evolution Soccer 2007,0.1,54%,24%,2%,20%,2.39,1.05,1,0.86,PS2
Role-Playing,Take-Two Interactive,251,2006,4.39,1,The Elder Scrolls IV: Oblivion,2.82,24%,3%,64%,9%,1.05,0.13,1,0.4,X360
Adventure,Nintendo,252,1987,4.38,1,Zelda II: The Adventure of Link,2.19,11%,37%,50%,2%,0.5,1.61,1,0.08,NES
Racing,Electronic Arts,253,2005,4.37,1,Need for Speed: Most Wanted,2.03,41%,2%,46%,11%,1.79,0.08,1,0.47,PS2
Shooter,Sony Computer Entertainment,254,2006,4.35,1,Resistance: Fall of Man,1.73,40%,3%,40%,17%,1.73,0.14,1,0.75,PS3
Platform,Sega,255,1991,4.34,1,Sonic the Hedgehog,3.03,21%,6%,70%,3%,0.91,0.26,1,0.13,GEN
Role-Playing,Square Enix,256,2005,4.33,1,Kingdom Hearts II,2.2,13%,32%,51%,4%,0.58,1.38,1,0.17,PS2
Sports,Electronic Arts,257,2013,4.31,1,FIFA 14,0.92,68%,0%,21%,11%,2.93,0.01,1,0.46,X360
Shooter,Activision,258,2014,4.31,1,Call of Duty: Advanced Warfare,2.75,27%,0%,64%,9%,1.18,0,1,0.37,X360
Shooter,Atari,259,1980,4.31,1,Asteroids,4,6%,0%,93%,1%,0.26,0,1,0.05,2600
Role-Playing,Microsoft Game Studios,260,2008,4.31,1,Fable II,2.51,29%,3%,58%,10%,1.27,0.11,1,0.41,X360
Shooter,Microsoft Game Studios,261,2015,4.26,1,Halo 5: Guardians,2.64,28%,1%,62%,9%,1.2,0.03,1,0.39,XOne
Platform,Nintendo,262,2013,4.25,1,Super Mario 3D World,2.11,26%,17%,50%,7%,1.11,0.72,1,0.3,WiiU
Action,Eidos Interactive,263,2009,4.25,1,Batman: Arkham Asylum,2.23,32%,2%,52%,14%,1.34,0.07,1,0.61,PS3
Action,Ubisoft,264,2011,4.24,1,Assassin's Creed: Revelations,1.41,48%,2%,33%,17%,2.02,0.1,1,0.72,PS3
Misc,Namco Bandai Games,265,2001,4.24,1,Namco Museum,3,26%,1%,71%,2%,1.11,0.05,1,0.07,GBA
Action,Konami Digital Entertainment,266,2004,4.23,1,Metal Gear Solid 3: Snake Eater,1.46,0%,20%,35%,46%,0,0.83,1,1.93,PS2
Platform,Sony Computer Entertainment,267,2006,4.22,1,Daxter,2.45,24%,0%,58%,18%,1.02,0,1,0.75,PSP
Strategy,Activision,268,1995,4.21,1,Warcraft II: Tides of Darkness,1.7,54%,0%,40%,5%,2.27,0,1,0.23,PC
Action,Nintendo,269,2011,4.21,1,The Legend of Zelda: Ocarina of Time,2.03,30%,15%,48%,7%,1.27,0.62,1,0.3,3DS
Sports,Electronic Arts,270,2005,4.21,1,FIFA Soccer 06,0.78,61%,1%,19%,20%,2.55,0.04,1,0.84,PS2
Misc,Sony Computer Entertainment,271,2003,4.2,1,EyeToy Play,0.88,55%,5%,21%,20%,2.3,0.2,1,0.83,PS2
Shooter,Sony Computer Entertainment,272,2016,4.2,1,Uncharted 4: A Thief's End,1.3,49%,4%,31%,15%,2.07,0.18,1,0.65,PS4
Racing,Sony Computer Entertainment,273,2007,4.2,1,Gran Turismo 5 Prologue,1.28,44%,14%,30%,13%,1.83,0.57,1,0.53,PS3
Action,Ubisoft,274,2011,4.19,1,Assassin's Creed: Revelations,2.25,35%,1%,54%,10%,1.47,0.04,1,0.43,X360
Fighting,Capcom,275,2009,4.19,1,Street Fighter IV,2.02,25%,14%,48%,13%,1.06,0.58,1,0.53,PS3
Sports,Electronic Arts,276,2011,4.19,1,FIFA 12,0.84,67%,0%,20%,13%,2.79,0.02,1,0.53,X360
Action,Palcom,277,1989,4.17,1,Teenage Mutant Ninja Turtles,3.38,11%,7%,81%,1%,0.44,0.31,1,0.04,NES
Racing,Nintendo,278,1984,4.16,1,Excitebike,2.04,12%,38%,49%,2%,0.48,1.57,1,0.07,NES
Action,Hasbro Interactive,279,1997,4.16,1,Frogger,3.79,6%,0%,91%,3%,0.27,0,1,0.11,PS
Sports,Electronic Arts,280,2002,4.14,1,Madden NFL 2003,3.36,5%,0%,81%,14%,0.21,0.01,1,0.56,PS2
Action,Ubisoft,281,2014,4.14,1,Watch Dogs,1.4,45%,3%,34%,19%,1.86,0.11,1,0.77,PS4
Shooter,Vivendi Games,282,1997,4.12,1,Half-Life,4.03,0%,2%,98%,0%,0,0.09,1,0,PC
Platform,Nintendo,283,1995,4.12,1,Super Mario World 2: Yoshi's Island,1.65,15%,43%,40%,2%,0.61,1.76,1,0.09,SNES
Sports,Electronic Arts,284,2006,4.11,1,FIFA Soccer 07,0.71,60%,1%,17%,22%,2.48,0.03,1,0.89,PS2
Action,Nintendo,285,2011,4.1,1,The Legend of Zelda: Skyward Sword,2.14,29%,9%,52%,10%,1.2,0.37,1,0.4,Wii
Fighting,Capcom,286,1992,4.1,1,Street Fighter II Turbo,1.42,12%,51%,35%,2%,0.51,2.1,1,0.07,SNES
Misc,Take-Two Interactive,287,2007,4.1,1,Carnival Games,2.13,37%,1%,52%,10%,1.5,0.05,1,0.42,Wii
Role-Playing,Bethesda Softworks,288,2015,4.09,1,Fallout 4,2.45,31%,0%,60%,9%,1.26,0.01,1,0.37,XOne
Role-Playing,Activision,289,2007,4.09,1,World of Warcraft: The Burning Crusade,2.57,37%,0%,63%,0%,1.52,0,1,0,PC
Role-Playing,Bethesda Softworks,290,2010,4.08,1,Fallout: New Vegas,2.65,26%,1%,65%,8%,1.06,0.04,1,0.33,X360
Action,Sony Computer Entertainment,291,2007,4.07,1,God of War II,2.32,1%,1%,57%,41%,0.04,0.04,1,1.67,PS2
Racing,Microsoft Game Studios,292,2007,4.06,1,Forza Motorsport 2,2.35,32%,1%,58%,10%,1.28,0.03,1,0.41,X360
Sports,Konami Digital Entertainment,293,2005,4.06,1,World Soccer Winning Eleven 9,0.12,56%,22%,3%,19%,2.26,0.9,1,0.77,PS2
Misc,Sony Computer Entertainment,294,1996,4.05,1,"Namco Museum Vol,3",2.28,38%,4%,56%,1%,1.55,0.16,1,0.06,PS
Fighting,Namco Bandai Games,295,2000,4.05,1,Tekken Tag Tournament,1.68,37%,13%,41%,9%,1.51,0.51,1,0.35,PS2
Shooter,Ubisoft,296,2014,4.03,1,Far Cry 4,1.12,53%,2%,28%,17%,2.12,0.1,1,0.69,PS4
Shooter,Nintendo,297,1997,4.03,1,Star Fox 64,2.78,14%,16%,69%,1%,0.58,0.64,1,0.04,N64
Misc,Sony Computer Entertainment Europe,298,2014,4.02,1,Minecraft,1.38,47%,3%,34%,16%,1.87,0.12,1,0.65,PS4
Sports,Nintendo,299,1984,4.01,1,Golf,1.22,7%,61%,30%,1%,0.28,2.46,1,0.04,NES
Role-Playing,Bethesda Softworks,300,2008,4.01,1,Fallout 3,2.15,30%,2%,54%,15%,1.2,0.07,1,0.59,PS3
Puzzle,Nintendo,301,2007,4,1,Professor Layton and the Diabolical Box,0.92,45%,23%,23%,9%,1.78,0.92,1,0.37,DS
Shooter,Electronic Arts,302,2009,3.99,1,Left 4 Dead 2,2.67,22%,1%,67%,9%,0.89,0.05,1,0.37,X360
Misc,Namco Bandai Games,303,2005,3.98,1,Namco Museum: 50th Anniversary,2.08,34%,0%,52%,14%,1.35,0,1,0.54,PS2
Sports,Electronic Arts,304,2009,3.92,1,EA Sports Active,2.1,35%,2%,54%,10%,1.36,0.06,1,0.4,Wii
Action,Ubisoft,305,2014,3.92,1,Assassin's Creed: Unity,1.18,50%,2%,30%,18%,1.96,0.08,1,0.7,PS4
Platform,Nintendo,306,1994,3.91,1,Donkey Kong Land,1.97,19%,27%,50%,3%,0.76,1.07,1,0.11,GB
Sports,Activision,307,2003,3.9,1,Tony Hawk's Underground,2.29,30%,0%,59%,11%,1.17,0.01,1,0.42,PS2
Action,Ubisoft,308,2013,3.89,1,Assassin's Creed IV: Black Flag,1.33,44%,3%,34%,19%,1.71,0.13,1,0.73,PS3
Role-Playing,Nintendo,309,2014,3.89,1,Monster Hunter 4 Ultimate,0.67,13%,67%,17%,3%,0.49,2.62,1,0.11,3DS
Racing,Sony Computer Entertainment,310,2006,3.88,1,MotorStorm,1.53,41%,2%,39%,17%,1.61,0.06,1,0.67,PS3
Role-Playing,Bethesda Softworks,311,2011,3.88,1,The Elder Scrolls V: Skyrim,1.15,54%,0%,30%,16%,2.09,0,1,0.64,PC
Fighting,Namco Bandai Games,312,2005,3.87,1,Tekken 5,0.93,50%,8%,24%,18%,1.94,0.31,1,0.7,PS2
Role-Playing,Enix Corporation,313,1988,3.87,1,Dragon Warrior III,0.1,0%,97%,3%,0%,0,3.77,1,0,NES
Sports,Sony Computer Entertainment,314,2010,3.87,1,Sports Champions,2.12,29%,3%,55%,13%,1.14,0.1,1,0.51,PS3
Sports,Take-Two Interactive,315,2015,3.85,1,NBA 2K16,2.48,17%,1%,64%,18%,0.65,0.03,1,0.69,PS4
Sports,Konami Digital Entertainment,316,2004,3.85,1,World Soccer Winning Eleven 8 International,0.16,49%,29%,4%,18%,1.89,1.12,1,0.68,PS2
Misc,Nintendo,317,2007,3.84,1,Flash Focus: Vision Training in Minutes a Day,0.87,41%,27%,23%,9%,1.57,1.05,1,0.35,DS
Misc,Sony Computer Entertainment,318,1995,3.84,1,"Namco Museum Vol,1",2.12,38%,6%,55%,2%,1.44,0.22,1,0.06,PS
Action,Nintendo,319,1992,3.83,1,The Legend of Zelda: Link's Awakening,2.21,25%,14%,58%,3%,0.96,0.54,1,0.13,GB
Role-Playing,Nintendo,320,2009,3.83,1,Mario & Luigi: Bowser's Inside Story,2.26,13%,21%,59%,7%,0.48,0.81,1,0.27,DS
Misc,Nintendo,321,2007,3.82,1,Big Brain Academy: Wii Degree,1.06,51%,11%,28%,11%,1.93,0.41,1,0.43,Wii
Simulation,Nintendo,322,2011,3.81,1,Nintendogs + cats,1.44,36%,19%,38%,7%,1.37,0.73,1,0.27,3DS
Action,"Warner Bros, Interactive Entertainment",323,2015,3.79,1,Batman: Arkham Knight,1.49,42%,3%,39%,16%,1.58,0.1,1,0.61,PS4
Sports,Sega,324,2011,3.78,1,Mario & Sonic at the London 2012 Olympic Games,1.14,51%,7%,30%,12%,1.91,0.27,1,0.46,Wii
Action,Activision,325,2008,3.78,1,LEGO Indiana Jones: The Original Adventures,2.4,27%,0%,63%,10%,1.03,0,1,0.36,X360
Action,Virgin Interactive,326,1996,3.77,1,Resident Evil Director's Cut,1.82,33%,12%,48%,7%,1.24,0.47,1,0.25,PS
Platform,Sony Computer Entertainment,327,2007,3.77,1,Ratchet & Clank: Size Matters,1.4,37%,3%,37%,23%,1.4,0.1,1,0.87,PSP
Misc,Ubisoft,328,2013,3.76,1,Just Dance 2014,1.98,39%,0%,53%,9%,1.47,0,1,0.32,Wii
Simulation,Electronic Arts,329,2002,3.76,1,The Sims: Unleashed,2.03,41%,0%,54%,5%,1.56,0,1,0.17,PC
Platform,Nintendo,330,2007,3.76,1,Super Paper Mario,1.98,23%,16%,53%,9%,0.88,0.59,1,0.32,Wii
Action,Electronic Arts,331,2001,3.73,1,Harry Potter and the Sorcerer's Stone,1.37,54%,4%,37%,6%,2,0.14,1,0.22,PS
Role-Playing,Namco Bandai Games,332,2015,3.73,1,The Witcher 3: Wild Hunt,0.96,54%,6%,26%,15%,2,0.21,1,0.56,PS4
Action,Eidos Interactive,333,1999,3.72,1,Resident Evil 3: Nemesis,1.3,21%,41%,35%,3%,0.77,1.54,1,0.11,PS
Platform,Sony Computer Entertainment,334,2000,3.71,1,Spyro: Year of the Dragon,1.93,43%,0%,52%,5%,1.58,0,1,0.19,PS
Sports,Electronic Arts,335,2004,3.7,1,FIFA Soccer 2005,0.58,67%,1%,16%,16%,2.48,0.04,1,0.59,PS2
Strategy,Nintendo,336,1998,3.7,1,Pok̩mon Trading Card Game,1.49,20%,37%,40%,3%,0.73,1.38,1,0.1,GB
Shooter,Electronic Arts,337,2013,3.69,1,Battlefield 4,1.3,41%,7%,35%,17%,1.51,0.27,1,0.61,PS3
Simulation,Electronic Arts,338,2007,3.69,1,MySims,1.59,44%,2%,43%,11%,1.61,0.08,1,0.41,DS
Misc,Nintendo,339,2009,3.67,1,Friend Collection,0,0%,100%,0%,0%,0,3.67,1,0,DS
Sports,Activision,340,2002,3.67,1,Tony Hawk's Pro Skater 4,2.13,32%,0%,58%,10%,1.18,0.01,1,0.35,PS2
Racing,Take-Two Interactive,341,2005,3.66,1,Midnight Club 3: DUB Edition,1.65,33%,0%,45%,22%,1.22,0,1,0.79,PSP
Platform,Nintendo,342,1998,3.65,1,Banjo-Kazooie,1.87,31%,15%,51%,3%,1.13,0.55,1,0.1,N64
Shooter,Sony Computer Entertainment,343,2002,3.65,1,"SOCOM: U,S, Navy SEALs",2.53,22%,2%,69%,7%,0.81,0.06,1,0.24,PS2
Misc,Activision,344,2008,3.65,1,Guitar Hero: World Tour,2.33,27%,0%,64%,10%,0.97,0,1,0.35,Wii
Racing,Sony Computer Entertainment,345,2013,3.64,1,Gran Turismo 6,0.71,49%,11%,20%,20%,1.8,0.4,1,0.74,PS3
Platform,Sony Computer Entertainment,346,2001,3.64,1,Jak and Daxter: The Precursor Legacy,2.08,30%,4%,57%,9%,1.09,0.15,1,0.33,PS2
Simulation,Nintendo,347,1999,3.63,1,Pokemon Snap,2.23,19%,18%,61%,2%,0.68,0.66,1,0.06,N64
Sports,Electronic Arts,348,2009,3.63,1,FIFA Soccer 10,0.6,68%,1%,17%,14%,2.46,0.05,1,0.52,PS3
Sports,Konami Digital Entertainment,349,2007,3.63,1,Pro Evolution Soccer 2008,0.05,0%,18%,1%,81%,0,0.64,1,2.93,PS2
Shooter,Activision,350,2013,3.63,1,Call of Duty: Ghosts,1.78,39%,1%,49%,10%,1.42,0.05,1,0.38,PS4
Action,Capcom,351,2005,3.62,1,Resident Evil 4,2.08,23%,13%,57%,7%,0.83,0.46,1,0.25,PS2
Shooter,Ubisoft,352,2016,3.61,1,Tom Clancy's The Division,1.28,45%,4%,35%,16%,1.61,0.15,1,0.57,PS4
Shooter,LucasArts,353,2004,3.61,1,Star Wars: Battlefront,1.93,34%,1%,53%,12%,1.22,0.03,1,0.44,PS2
Shooter,Virgin Interactive,354,1994,3.61,1,Doom II: Hell on Earth,2.05,39%,0%,57%,4%,1.4,0,1,0.16,PC
Racing,Electronic Arts,355,2001,3.61,1,The Simpsons: Road Rage,2.02,32%,0%,56%,12%,1.17,0,1,0.42,PS2
Simulation,505 Games,356,2007,3.61,1,Cooking Mama 2: Dinner With Friends,1.61,42%,3%,45%,11%,1.5,0.1,1,0.39,DS
Action,Nintendo,357,2001,3.6,1,Luigi's Mansion,2.38,19%,13%,66%,3%,0.67,0.46,1,0.1,GC
Shooter,LucasArts,358,2005,3.59,1,Star Wars: Battlefront II,2.18,28%,1%,61%,10%,1.02,0.03,1,0.37,PS2
Fighting,THQ,359,2000,3.58,1,WWF SmackDown!,2.01,38%,2%,56%,4%,1.35,0.06,1,0.16,PS
Platform,Fox Interactive,360,1997,3.56,1,Croc: Legend of the Gobbos,1.57,50%,0%,44%,6%,1.79,0,1,0.2,PS
Action,Take-Two Interactive,361,2006,3.54,1,Grand Theft Auto: Liberty City Stories,1.56,40%,2%,44%,14%,1.4,0.07,1,0.5,PS2
Action,Sony Computer Entertainment,362,2002,3.54,1,The Getaway,1.23,50%,1%,35%,14%,1.77,0.05,1,0.49,PS2
Action,Eidos Interactive,363,1997,3.54,1,Tomb Raider III: Adventures of Lara Croft,1.66,45%,3%,47%,5%,1.58,0.12,1,0.18,PS
Shooter,Electronic Arts,364,2001,3.53,1,James Bond 007: Agent Under Fire,1.9,32%,3%,54%,12%,1.13,0.1,1,0.41,PS2
Action,Eidos Interactive,365,2005,3.53,1,LEGO Star Wars: The Video Game,1.98,32%,0%,56%,12%,1.14,0.01,1,0.41,PS2
Shooter,Electronic Arts,366,2013,3.53,1,Battlefield 4,2.14,31%,1%,61%,8%,1.08,0.02,1,0.29,X360
Sports,Electronic Arts,367,2010,3.53,1,FIFA Soccer 11,0.71,68%,1%,20%,11%,2.4,0.02,1,0.4,X360
Action,THQ,368,2000,3.52,1,Rugrats in Paris: The Movie,1.96,38%,0%,56%,7%,1.33,0,1,0.23,PS
Platform,Sony Computer Entertainment,369,1999,3.52,1,Spyro 2: Ripto's Rage!,2.14,34%,0%,61%,5%,1.21,0.01,1,0.17,PS
Shooter,Electronic Arts,370,2008,3.52,1,Left 4 Dead,2.66,14%,1%,76%,9%,0.5,0.05,1,0.3,X360
Sports,Sega,371,2009,3.52,1,Mario & Sonic at the Olympic Winter Games,1.22,47%,8%,35%,11%,1.66,0.27,1,0.38,DS
Action,Capcom,372,2009,3.51,1,Resident Evil 5,2.11,27%,3%,60%,10%,0.94,0.12,1,0.34,X360
Platform,Nintendo,373,1996,3.51,1,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1.17,14%,50%,33%,2%,0.5,1.75,1,0.08,SNES
Action,Ubisoft,374,2010,3.5,1,Assassin's Creed: Brotherhood,2.84,11%,1%,81%,7%,0.39,0.03,1,0.24,X360
Action,Nintendo,375,1985,3.5,1,Kung Fu,1.64,11%,41%,47%,2%,0.38,1.42,1,0.06,NES
Action,Eidos Interactive,376,2009,3.5,1,Batman: Arkham Asylum,2.2,28%,1%,63%,9%,0.97,0.02,1,0.31,X360
Misc,Nintendo,377,2006,3.5,1,Clubhouse Games,0.59,52%,21%,17%,10%,1.83,0.73,1,0.35,DS
Sports,Electronic Arts,378,,3.49,1,FIFA Soccer 2004,0.59,68%,1%,17%,15%,2.36,0.04,1,0.51,PS2
Shooter,Electronic Arts,379,2015,3.49,1,Star Wars Battlefront (2015),1.94,35%,1%,56%,9%,1.22,0.02,1,0.31,XOne
Shooter,Electronic Arts,380,2010,3.48,1,Battlefield: Bad Company 2,2.09,29%,1%,60%,9%,1.02,0.04,1,0.32,X360
Misc,Activision,381,2008,3.48,1,Guitar Hero: On Tour,2.11,29%,0%,61%,10%,1.01,0.01,1,0.35,DS
Action,Ubisoft,382,2014,3.46,1,Assassin's Creed: Unity,2.26,26%,0%,65%,9%,0.89,0,1,0.3,XOne
Shooter,Ubisoft,383,2012,3.45,1,Far Cry 3,0.88,51%,3%,26%,21%,1.75,0.1,1,0.72,PS3
Role-Playing,Capcom,384,2013,3.44,1,Monster Hunter 4,0,0%,100%,0%,0%,0,3.44,1,0,3DS
Shooter,Take-Two Interactive,385,2009,3.44,1,Borderlands,2.39,21%,1%,69%,8%,0.73,0.03,1,0.29,X360
Fighting,Namco Bandai Games,386,2002,3.44,1,Tekken 4,1.55,37%,10%,45%,8%,1.27,0.33,1,0.29,PS2
Shooter,Electronic Arts,387,2013,3.43,1,Battlefield 4,1.34,45%,5%,39%,11%,1.54,0.17,1,0.38,PS4
Platform,Sony Computer Entertainment,388,2011,3.42,1,LittleBigPlanet 2,1.82,31%,2%,53%,14%,1.07,0.06,1,0.47,PS3
Action,Take-Two Interactive,389,1998,3.42,1,Grand Theft Auto 2,1.13,61%,0%,33%,6%,2.07,0,1,0.22,PS
Role-Playing,SquareSoft,390,1994,3.42,1,Final Fantasy III,0.86,0%,75%,25%,1%,0,2.55,1,0.02,SNES
Action,Activision,391,2004,3.41,1,Spider-Man 2,1.75,35%,1%,51%,13%,1.2,0.02,1,0.43,PS2
Racing,Nintendo,392,1990,3.41,1,F-1 Race,1.73,20%,17%,51%,12%,0.69,0.59,1,0.4,GB
Sports,Electronic Arts,393,2002,3.4,1,FIFA Soccer 2003,0.46,67%,1%,14%,18%,2.28,0.05,1,0.61,PS2
Misc,Sony Computer Entertainment,394,2000,3.39,1,Crash Bash,1.56,43%,6%,46%,5%,1.47,0.19,1,0.17,PS
Action,"Warner Bros, Interactive Entertainment",395,2008,3.38,1,LEGO Batman: The Videogame,2.03,30%,0%,60%,9%,1.03,0,1,0.32,X360
Action,Konami Digital Entertainment,396,2015,3.38,1,Metal Gear Solid V: The Phantom Pain,1.08,40%,14%,32%,14%,1.35,0.48,1,0.47,PS4
Action,Nintendo,397,2009,3.38,1,The Legend of Zelda: Spirit Tracks,1.43,28%,22%,42%,8%,0.94,0.74,1,0.27,DS
Fighting,Acclaim Entertainment,398,1998,3.36,1,WWF War Zone,2.47,23%,0%,74%,4%,0.76,0,1,0.13,PS
Action,Nintendo,399,2000,3.36,1,The Legend of Zelda: Majora's Mask,1.9,20%,22%,57%,2%,0.67,0.73,1,0.06,N64
Puzzle,Nintendo,400,2008,3.36,1,Professor Layton and the Unwound Future,0.65,48%,24%,19%,8%,1.61,0.82,1,0.28,DS
Adventure,THQ,401,1998,3.34,1,Rugrats: Search For Reptar,1.63,46%,0%,49%,5%,1.53,0,1,0.18,PS
Action,Ubisoft,402,2013,3.34,1,Assassin's Creed IV: Black Flag,1.9,34%,0%,57%,9%,1.14,0.01,1,0.29,X360
Misc,Nintendo,403,2006,3.33,1,English Training: Have Fun Improving Your Skills!,0,30%,70%,0%,1%,0.99,2.32,1,0.02,DS
Shooter,Electronic Arts,404,2002,3.33,1,James Bond 007: Nightfire,1.45,39%,4%,44%,14%,1.29,0.12,1,0.46,PS2
Platform,Sony Computer Entertainment,405,2002,3.33,1,Ratchet & Clank,1.44,30%,17%,43%,9%,1.01,0.57,1,0.3,PS2
